NAME_2,education_index,health_index,publictransport_index,shop_index,green_index,composite_index,rank_composite
East Moyo,35.743306247998355,18.221984625764435,1.9248843221517165,9.512731752006331,1.1280971601833147,12.923415738667662,96
Kole,42.21417616989381,11.97986478572238,1.2445600685035711,1.2854042306223887,1.1156978502687351,10.501008253181862,117
Kwania,30.18597587851029,8.620031024981872,0.3407570360562778,0.6585235718520963,0.4922461982337469,7.013080803565011,142
Maruzi,38.261410895458816,11.569532212939995,0.6170577595109481,1.1994247113690282,0.4545599780531856,9.356072547794957,129
Oyam,41.938299182337,11.826197861465646,0.6299339490995152,1.295948340169777,1.0813337626415556,10.243176681683723,122
Arua Municipality,100.0,100.0,82.32656698373329,72.76517087582737,44.00207087541253,90.84414463552403,2
Ayivu,62.94029174957895,52.87769032745678,35.23844188751708,61.90726846598118,81.24025947989126,66.73719053807487,6
Koboko,53.472673566935256,19.280838175296097,0.623079428472452,1.320567214057942,3.6674508943114024,14.816068405954397,81
Madi-Okollo,25.29637982010157,21.4773512423561,0.3617031226477033,39.97093937715333,1.4006489394733117,18.114211694858454,51
Maracha,58.863503541790195,29.116619857002725,0.7564111487565743,1.605347806328257,1.363927910304221,17.798661424521086,57
Terego,44.14042062204893,33.895318684185874,0.4838008074856302,54.40411158299877,24.05500055822743,33.382086668505394,18
Vurra,44.63245076092138,34.85498556183387,0.9655223580463748,56.140991648072934,7.557462496073642,30.080782609152568,20
Bukooli,57.32508372762981,30.807926917502066,2.0125849782189116,1.7484510491861345,0.2318995710492075,18.047204517465154,54
Bwamba,56.42554968378661,34.12407262279758,0.7359504396988966,35.953925099939454,5.137173120600198,26.955339098671736,25
Ntoroko,6.972244033153658,3.5040186401426325,2.2479909169418573,0.7821185884763833,7.924513696040007,4.056549842999681,152
Buhweju,51.789590363806845,6.278743958198535,0.7065076671075075,0.6826738198568887,0.7211562883128181,10.332905212399133,120
Bunyaruguru,35.47255609755343,5.0242368510480855,0.5078284734690871,0.5112646741613733,0.3921335545979494,6.9982899594114025,143
Igara,64.9971233369366,21.883406002166492,7.475628783745631,6.345227231472263,4.406747720113812,20.58010866855706,35
Ruhinda,69.53773318547442,17.15557766580527,1.2720244423150424,1.4914678371514292,4.9534505220078575,17.5990805437187,59
Sheema,61.15700463181704,16.65713623629291,1.1753455582608563,1.5892358468521317,1.5692169486749847,15.159390338099884,75
Samia-Bugwe,56.60395427372038,20.47474449016624,7.994486815420651,2.9238760544702656,0.4027449770126359,17.159948142006634,63
Aswa,43.93941627116645,7.66145520947348,0.6678258479530199,0.628798099851823,0.6606807048026693,9.28429297102957,130
Gulu,73.35367220175722,72.1970014343518,53.699935763127215,49.36004835454722,27.386067709850614,62.25423360795257,7
Kilak,16.45158689454576,6.1094321739818165,0.369422899142602,0.573095501458247,17.2940033325804,8.177152907506441,134
Nwoya,35.796773974224436,20.538506236416403,10.475384477138588,5.881039472150852,1.3124721446971466,15.077495920157896,77
Omoro,36.12003164877133,5.560308246265494,6.097990166018307,0.7776057829399076,0.7429467801035878,8.885250071130063,131
Bugahya,49.69185565889451,22.508784425795543,2.1601863173287663,4.487050486814946,2.0242230272818977,15.66303447785887,72
Buhaguzi,20.411620280582067,6.2173043970716355,1.1259972844711246,5.973711402204387,1.317619326722153,6.249406565435162,146
Bugweri,59.00904283929474,36.54944629840245,1.2928234886279464,2.0421200235548422,0.3012360155208379,19.702364804390836,42
Busiki,57.93438694773292,32.887397400560566,0.5983959276684828,11.332704416827935,0.308308205799143,20.381286475310386,37
Kigulu,57.54595691140017,25.224169533375708,1.7326215661485331,37.17703298247949,0.3553064575477693,24.195497783594494,29
Luuka,59.28804885477147,30.04273470539203,1.2281293060816214,2.0126604135095767,0.3455599396254108,18.068222512567196,53
Butembe,52.51980099879336,27.032558972424702,19.61493285966429,15.551018581327384,3.00455712970669,24.589215092041133,27
Jinja,62.82780987054414,50.110670182437936,54.50794232030781,66.9352364094222,23.373510529239326,57.72632876637339,9
Kagoma,59.76242708248712,42.68808887867236,1.0311355122749686,5.137799950118235,1.529928131259631,22.310252104939455,33
Kabale,77.39624852619632,48.92931020485872,73.25178326717149,56.50636700592611,100.0,81.9277910445211,3
Ndorwa,58.81225044767131,22.10044577247261,3.4111862015034617,5.417041739769736,12.981612173919316,20.42444055338129,36
Rubanda,52.951749944131365,17.098641393432313,1.5964070461120947,1.4725575884212632,1.0855035967649247,13.810543157712573,88
Rukiga,59.906327569882976,18.164138066616385,1.2100809238652723,1.1383670661200178,52.44543019979919,27.989296386332136,23
Bunyangabu,49.341792196466194,31.1649498703918,11.206391103144435,1.025647403696383,0.9120334095095864,19.21809120435688,45
Burahya,52.63942506733015,36.88077381990842,11.186997215001584,22.482658790771616,4.845811492980521,26.834847033692235,26
Fort Portal,74.1071435381686,53.8596666190567,43.18843082646143,59.51025375771546,19.47426080236413,55.0645273233407,10
Kaberamaido,42.45399051199882,15.379662868367149,0.2903184840816908,3.94434959220122,0.7385202177513145,11.635732259045716,105
Kalaki,44.15322365333276,12.716436421077262,1.0031786927945003,0.7933820708515348,0.7594999917959482,10.76859751654017,113
Bujumba,31.589752883360507,8.988165395164552,1.9070169045644163,2.272917396632072,0.2427121460575572,8.053085402034641,135
Kyamuswa,12.639364310925316,13.432108589133618,1.1063592670360107,1.0841343313259488,0.246069718308812,5.427613011490728,147
Kampala,81.33800247949198,77.9526194937561,100.0,100.0,73.99612296410099,100.0,1
Budiope,42.57360566182298,5.714141568493945,0.2999024853446339,0.3269715079324348,0.1492730104142123,8.255712225923538,133
