NAME_2,education_index,health_index,publictransport_index,shop_index,green_index,composite_index,rank_composite
Asunafo North,4.244331144179632,7.192481995681092,1.339725262695517,1.4831553045502268,10.665897036739413,4.69989983057778,194
Asunafo South,11.139557259960402,4.914749656255997,0.4897859597786095,1.2688681772952517,28.546977274074457,8.328197722877984,129
Asutifi North,12.385462466244968,2.051306816373895,0.3861858739014014,0.4936058968588935,19.34409460632251,6.259428834260407,166
Asutifi South,19.541808800433664,7.418736291935316,0.9378454898501368,4.321915661322687,19.247587393532285,10.373277293778873,106
Tano North,16.976130503699842,2.953998858487054,3.2756431868476237,2.532547853776597,14.421278434264105,8.043150795285541,137
Tano South,15.823206290273031,5.721502322139982,1.240117568823515,0.4631178708696527,8.254145930647178,6.259423441089863,167
Adansi Akrofuom,1.4341171510243462,0.8922889420085626,0.9904349878845564,0.7729825945935695,11.981719649763642,2.6058840352142463,223
Adansi Asokwa,2.502325477794829,0.5143817313780893,4.628276805899916,2.7380380854021844,27.09838276281475,6.648380846043972,159
Adansi North,12.650003763455182,1.1192099199644383,5.7050889594877585,0.7796813805369825,23.517287699722807,8.123671139060871,133
Adansi South,3.6305021896920606,0.2079519902886256,4.489778865310997,2.6518277781414117,29.603431969345017,7.173374285189698,146
Afigya-Kwabre North,11.02539743266662,1.4459622809673642,0.3034975867870274,7.237407937703528,5.206146462210031,5.72565507401467,181
Afigya-Kwabre South,22.519958564745615,19.912853065371827,1.1978205191474114,4.633498132433042,41.26685089607933,17.39121314379987,62
Ahafo-Ano North,3.4856619492359955,1.8322249596401767,0.3178258368362207,0.7298443458605611,5.8946501230140305,2.133979590162691,227
Ahafo-Ano South East,21.2132805652704,2.492743545397767,0.3466268119562366,2.9310740309454815,30.897826940547667,10.948617728288308,102
Ahafo-Ano South West,1.2267249051611726,2.8110501858831816,0.3214115142975425,0.4599335698485206,12.666850172266225,2.823670219511704,221
Amansie Central,2.1990211383073324,1.1725953061761325,0.913209522650761,0.9807795365907918,21.74671555561493,4.435108380029365,200
Amansie South,0.2411256368481664,6.526224568371247,0.2472995382591141,0.2059309343291958,20.997402134110008,4.6244702030721045,197
Amansie West,16.051043191345478,0.5335734185723048,0.3659105329478854,0.4408225411178215,37.7929962123017,9.660890057459874,110
Asante-Akim Central,27.363242551720816,20.415074641602263,2.6777978317630073,9.228812259838206,23.62980394252696,17.618518051936746,61
Asante-Akim North,2.217617296639339,1.7823016498694146,0.3837194531426267,0.2471688925649099,3.0339197223533407,1.2445782133345151,246
Asante-Akim South,1.262768734414462,0.7171375758769257,0.6080649614541975,0.7215422001042727,2.863206451141708,0.9775575990811929,250
Asokore-Mampong,35.91374136313978,38.69273285990844,11.745195477505463,25.593254829296846,74.96093715878803,39.01092695219407,27
Asokwa,30.846706419010133,36.18536714822187,13.063165904202664,25.079209202878843,60.38409294633992,35.16274399156763,31
Atwima-Kwanwoma,12.570018400738348,12.24633172989466,3.310263213010293,10.96591148814768,47.47253468937687,17.007628718438404,64
Atwima-Mponua,3.076309211171502,6.096140678078279,0.5140562045635334,6.313155469538841,17.5639274687559,6.648910223265488,158
Atwima-Nwabiagya North,10.661710841949848,1.3678412716551658,0.6957864040041437,0.8459941847421761,16.65699522343644,5.483495238180186,185
Atwima-Nwabiagya South,16.202398570757243,24.90393395415146,3.1908716881515,9.687893576282072,40.05178137109627,18.942359297924313,57
Bekwai,32.02695565172815,13.592121177237203,3.3417830801908135,12.02824803954233,36.43436616045136,20.282144415249086,55
Bosome Freho,2.420332266308376,1.1838857852628184,0.6582523103170917,2.244473986966607,34.765126352092686,6.896429775148584,152
Bosomtwe,19.8103703631828,1.7443624263344732,2.377255825851307,0.9471845227426824,36.888661107867755,11.262148648122233,97
Ejisu,6.362394101524611,2.6144217713898956,8.533070486833026,1.1624776054648986,28.667682054585487,8.634086082286052,125
Ejura-Sekyedumase,7.652022480578667,1.0576722623566308,0.0072347761955625,3.9167292140536527,15.055034870823958,5.3074422320283245,187
Juaben,17.01259348153923,10.0231540363876,2.69917388396937,7.488243180004211,25.62317767862112,12.806297530276952,85
Kumasi,40.72668951421037,44.82825466702505,27.516621041178425,29.825318154169334,82.87876587359611,47.745836900576585,13
Kwabre East,29.463336555767594,21.106698754349285,1.4284460346260237,10.841875141559605,67.78784079533136,25.464001595883744,41
Kwadaso,36.65681037825232,35.69666617825161,20.937132922185658,25.043874200014297,64.7577396730316,38.90286466704154,28
Mampong,5.028308533496586,5.504806163199863,0.1327636694619716,1.236485983437798,17.461928193236115,5.226453566039104,188
Obuasi,41.810117059522966,17.67255290615432,10.776865624832013,10.070330211106487,59.80733299109632,28.194792383937216,38
Obuasi East,24.85996226307617,8.098395957198477,3.957081841197279,3.827589881538035,33.23052728089,14.487348556399535,73
Offinso,9.601399345908488,2.2101341365027514,0.2298619826516443,2.746336912397975,21.0398834445653,6.620980129748716,160
Offinso North,25.4072543116919,13.113374003090644,0.4224351115206243,0.5256305647406905,9.46784318658569,10.03411942169509,108
Oforikrom,42.17099213181392,44.88054524409728,14.241603443695665,29.101103877974687,66.28095031208231,42.09360280904206,20
Old Tafo,38.41079696599453,33.62314503488177,20.069945248654932,25.80940140756564,71.86315639789518,40.01864876759871,24
Sekyere Afram Plains North,0.0,0.2937892272370927,0.2078486759301617,0.0025757981636731,3.4442030177398024,0.3687741675500066,258
Sekyere Central,1.0032930355027163,1.8014884780233151,0.0578078800437444,0.3239019789845168,12.354779527236966,2.400347319427538,226
